Item Number,Quantity,Description,Size,Salon Each,Category
KPPE00656,0,Prestige 6.56 Light Mahogany,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00664,0,Prestige 6.64 Strawberry Red,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00666,0,Prestige 6.66  Cassis Red ,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00667,0,Prestige 6.67  Blackcurrant Red ,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00070,0,Prestige 7.0  Medium Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00700,0,Prestige 7.00  Intense Medium Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00071,0,Prestige 7.1  Medium Ash Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00073,0,Prestige 7.3  Medium Golden Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00731,0,Prestige 7.31  Medium Golden Ash Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00732,0,Prestige 7.32  Medium Beige Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00734,0,Prestige 7.34  Medium Copper Golden Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00074,0,Prestige 7.4  Medium Copper Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00744,0,Prestige 7.44  Intense Medium Copper Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE07450,0,Prestige 7.45/0  Sensual Copper,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00075,0,Prestige 7.5 Hazelnut Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00750,0,Prestige 7.50  Iroko Brown,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00751,0,Prestige 7.51  Moka Brown,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00752,0,Prestige 7.52  Iridescent Brown ,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00753,0,Prestige 7.53  Safari Brown,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00756,0,Prestige 7.56 Hazelnut,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00764,0,Prestige 7.64  Coral Red,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00766,0,Prestige 7.66  Chili Red,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00777,0,Prestige 7.77  Mauve,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00079,0,Prestige 7.9  Diamond Grey,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00080,0,Prestige 8.0  Light Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00800,0,Prestige 8.00  Intense Light Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00801,0,Prestige 8.01 Natural Light Ash Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00081,0,Prestige 8.1  Light Ash Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00082,0,Prestige 8.2 Light Pearl Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00083,0,Prestige 8.3  Light Golden Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00831,0,Prestige 8.31  Light Golden Ash Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00832,0,Prestige 8.32  Light Beige Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00833,0,Prestige 8.33 Intense Light Golden Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00834,0,Prestige 8.34  Light Copper Golden Blonde ,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00843,0,Prestige 8.43  Light Golden Copper Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00844,0,Prestige 8.44  Intense Light Copper Blonde ,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00845,0,Prestige 8.45 Light Mahogany Copper Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE08450,0,Prestige 8.45/0  Chic Copper,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00851,0,Prestige 8.51  Sandy Brown,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00853,0,Prestige 8.53  Golden Brown,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00854,0,Prestige 8.54  Praline Brown,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00090,0,Prestige 9.0  Very Light Blonde ,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00900,0,Prestige 9.00  Intense Very Light Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00901,0,Prestige 9.01 Very Light Natural Ash Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00091,0,Prestige 9.1  Very Light Ash Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00912,0,Prestige 9.12  Very Light Ash Pearl Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00093,0,Prestige 9.3  Very Light Golden Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00931,0,Prestige 9.31  Very Light Golden Ash Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00932,0,Prestige 9.32  Very Light Beige Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00099,0,Prestige 9.9  Silver Grey,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00100,0,Prestige 10.0  Platinum Blonde ,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE01000,0,Prestige 10.00  Intense Platinum Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE01001,0,Prestige 10.01 Natural Ash Platinum Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00101,0,Prestige 10.1  Platinum Ash Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00103,0,Prestige 10.3  Platinum Golden Blonde  ,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE01032,0,Prestige 10.32  Platinum Beige Blonde   ,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00110,0,Prestige 11.0  Super Light Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE01102,0,Prestige 11.02 Super Light Pearl Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00111,0,Prestige 11.1  Super Light Ash Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE01112,0,Prestige 11.12  Super Light Pearl Ash Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00113,0,Prestige 11.3 Super Light Golden Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE01132,0,Prestige 11.32  Super Light Beige Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE01134,0,Prestige 11.34 Super Light Copper Golden Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00120,0,Prestige 12.0  Extra Light Blonde ,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00121,0,Prestige 12.1 Extra Light Ash Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN030,0,Prestige CN 3.0  Cool Dark Chestnut,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN040,0,Prestige CN 4.0  Cool Medium Chestnut,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN050,0,Prestige CN 5.0  Cool Light Chestnut,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN060,0,Prestige CN 6.0  Cool Dark Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN070,0,Prestige CN 7.0  Cool Medium Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN080,0,Prestige CN 8.0  Cool Light Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN090,0,Prestige CN 9.0  Cool Very Light Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN100,0,Prestige CN 10.0  Cool Platinum Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN300,0,Prestige CN 3.00  Cool Intense Dark Chestnut,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN400,0,Prestige CN 4.00  Cool Intense Medium Chestnut,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN500,0,Prestige CN 5.00  Cool Intense Light Chestnut,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN600,0,Prestige CN 6.00  Cool Intense Dark Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN700,0,Prestige CN 7.00  Cool Intense Medium Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN800,0,Prestige CN 8.00  Cool Intense Light Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN900,0,Prestige CN 9.00  Cool Intense Very Light Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPEC1000,0,Prestige CN 10.00  Cool Intense Platinum Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00M00,0,Prestige M/00  Lightener ,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00M11,0,Prestige M/11  Ash,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00M33,0,Prestige M/33  Golden,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00M44,0,Prestige M/44  Copper,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00M66,0,Prestige M/66  Red ,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00M77,0,Prestige M/77  Violet,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00M88,0,Prestige M/88  Green,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00M99,0,Prestige M/99  Blue,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00C44,0,Contrast C44  Copper,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00C55,0,Contrast C55  Reddish Copper,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00C66,0,Contrast C66  Fiery Red,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00C77,0,Contrast C77  Ruby Red,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00V44,0,Color Vibrance V44 Copper - 75 ml,75.ml,$18.00 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00V66,0,Color Vibrance V66 Red - 75 ml,75.ml,$18.00 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00V77,0,Color Vibrance V77 Purple - 75 ml,75.ml,$18.00 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPDE10PLT,0,Oxydant Color Plus 10 vol (3%),liter,$12.00 ,"OXYDANTS, DEVELOPERS & KINBLOND"
KPDE20PLT,0,Oxydant Color Plus 20 vol (6%),liter,$12.00 ,"OXYDANTS, DEVELOPERS & KINBLOND"
KPDE30PLT,0,Oxydant Color Plus 30 vol (9%),liter,$12.00 ,"OXYDANTS, DEVELOPERS & KINBLOND"
KPDE40BLT,0,Oxydant Blondes 40 vol (12%),liter,$12.00 ,"OXYDANTS, DEVELOPERS & KINBLOND"
KPDE20P60,0,Oxydant Color Plus 20 vol (6%),60 ml,$2.50 ,"OXYDANTS, DEVELOPERS & KINBLOND"
KPDE30P60,0,Oxydant Color Plus 30 vol (9%),60 ml,$2.50 ,"OXYDANTS, DEVELOPERS & KINBLOND"
KPDE40B12,0,Oxydant Blondes 40 vol (12%),120 ml,$4.00 ,"OXYDANTS, DEVELOPERS & KINBLOND"
KPDE05GLT,0,Glamour Developer 5 Volume,liter,$10.00 ,"OXYDANTS, DEVELOPERS & KINBLOND"
KPDE18GLT,0,Glamour Developer Intense 18 volume,liter,$10.00 ,"OXYDANTS, DEVELOPERS & KINBLOND"
KPDE12G12,0,Glamour Developer 12 Volume,120 ml,$4.00 ,"OXYDANTS, DEVELOPERS & KINBLOND"
KPDE18G12,0,Glamour Developer Intense 18 volume,120 ml,$4.00 ,"OXYDANTS, DEVELOPERS & KINBLOND"
KPBLPOWSA,0,KinBlond Bleaching Powder,30 gr,$5.00 ,"OXYDANTS, DEVELOPERS & KINBLOND"
KPBLPOW50,0,KinBlond Bleaching Powder,500 gr,$28.00 ,"OXYDANTS, DEVELOPERS & KINBLOND"
KPBLPOW10,0,KinBlond Bleaching Powder,1000 gr,$40.00 ,"OXYDANTS, DEVELOPERS & KINBLOND"
KRSHCAN20,0,Candy Color Shampoo - 200 ml,200 ml,$12.00 ,KIN CANDY COLORS - adding color to life
KPTERED20,0,Candy Colors Red Velvet - 200 ml,200 ml,$17.00 ,KIN CANDY COLORS - adding color to life
KPTEBLU20,0,Candy Colors Blue Gummy - 200 ml,200 ml,$17.00 ,KIN CANDY COLORS - adding color to life
KPTEYELL20,0,Candy Colors Yellow Mellow - 200 ml,200 ml,$17.00 ,KIN CANDY COLORS - adding color to life
KPTEPIN20,0,Candy Colors Pink Bubblegum - 200 ml,200 ml,$17.00 ,KIN CANDY COLORS - adding color to life
KPTEGRE20,0,Candy Colors Green Mint - 200 ml,200 ml,$17.00 ,KIN CANDY COLORS - adding color to life
KPTEVIO20,0,Candy Colors Violet Crumble - 200 ml,200 ml,$17.00 ,KIN CANDY COLORS - adding color to life
KPTEWHI20,0,Candy Colors White Sugar - 200 ml,200 ml,$17.00 ,KIN CANDY COLORS - adding color to life
KRTEREF01,0,KINACTIF Color Refresher Bottle,200 ml,$2.00 ,KIN CANDY COLORS - adding color to life
KPSHEQULT,0,KINMASTER Equilibrant Shampoo,liter,$30.00 ,KINCREM Prestige Accessories
KPSHDEELT,0,KINMASTER Deep Cleansing Shampoo,liter,$30.00 ,KINCREM Prestige Accessories
KRACPUM01,0,KIN Liter Pump,ea,$2.00 ,KINCREM Prestige Accessories
KPCOBAL24,0,Color Balance - 24 x 12 ml,24 x 12 ml,$66.00 ,KINCREM Prestige Accessories
KPACCLE75,0,Color Cleanser - 75 ml,75 ml,$9.00 ,KINCREM Prestige Accessories
KPACSCR75,0,Color Screen - 75 ml,75 ml,$13.50 ,KINCREM Prestige Accessories
KPACREM01,0,Color Remover Kit,2 x 50 ml,$17.00 ,KINCREM Prestige Accessories
KPACBOW01,0,Prestige Color Mixing Bowls,ea,$4.00 ,KINCREM Prestige Accessories
KPACSHA01,0,Prestige Color Mixing Shaker,ea,$5.00 ,KINCREM Prestige Accessories
KPACMEA01,0,Prestige Measuring Cup,ea,$4.00 ,KINCREM Prestige Accessories
KPACBRU01,0,Prestige Color Brush,ea,$3.00 ,KINCREM Prestige Accessories
KPACAPR02,0,KIN Adjustable Chef's Apron,ea,$40.00 ,KINCREM Prestige Accessories
KPACCAPBL,0,KIN Cutting Cloth - Black,ea,$20.00 ,KINCREM Prestige Accessories
KPACTOWBL,0,KIN Towel - Black,ea,$6.50 ,KINCREM Prestige Accessories
KPACTOWWH,0,KIN Towel - White,ea,$6.50 ,KINCREM Prestige Accessories
KPACCAPDI,0,KIN Disposable Capes 50 pack,50 pack,$18.00 ,KINCREM Prestige Accessories
KPPESWA01,0,Prestige Color Swatch Book,ea,$65.00 ,KINCREM Prestige Accessories
KPSESWA01,0,Newcolor Glamour Color Swatch Book,ea,$35.00 ,KINCREM Prestige Accessories
