Item Number,Quantity,Description,Size,Salon Each,Category
KPPEE0652,0,KINESSENCES  6.52 Dark Brown Iridescent Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0653,0,KINESSENCES  6.53 Dark Brown Golden Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0666,0,KINESSENCES  6.66 Dark Intense Red Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0667,0,KINESSENCES  6.67 Dark Red Violet Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0677,0,KINESSENCES  6.77 Dark Intense Violet Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0070,0,KINESSENCES  7.0 Medium Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0702,0,KINESSENCES  7.02 Natural Medium Iridescent Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0071,0,KINESSENCES  7.1 Medium Ash Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0723,0,KINESSENCES  7.23 Medium Iridescent Golden Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0073,0,KINESSENCES  7.3 Medium Golden Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0731,0,KINESSENCES  7.31 Medium Golden Ash Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0732,0,KINESSENCES  7.32 Medium Beige Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0074,0,KINESSENCES  7.4 Medium Copper Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0744,0,KINESSENCES  7.44 Medium Intense Copper Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0750,0,KINESSENCES  7.50 Medium Chocolate Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0751,0,KINESSENCES  7.51 Medium Mocha Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0752,0,KINESSENCES  7.52 Medium Brown Iridescent Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0753,0,KINESSENCES  7.53 Medium Brown Golden Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0756,0,KINESSENCES  7.56 Medium Hazelnut Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0766,0,KINESSENCES  7.66 Medium Intense Red Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0080,0,KINESSENCES  8.0 Light Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0802,0,KINESSENCES  8.02 Natural Light Iridescent Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0081,0,KINESSENCES  8.1 Light Ash Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0083,0,KINESSENCES  8.3 Light Golden Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0831,0,KINESSENCES  8.31 Light Golden Ash Blonde ,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0832,0,KINESSENCES  8.32 Light Beige Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0834,0,KINESSENCES  8.34 Light Golden Copper Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0843,0,KINESSENCES  8.43 Light Copper Golden Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0844,0,KINESSENCES  8.44 Light Intense Copper Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0851,0,KINESSENCES  8.51 Light Mocha Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0853,0,KINESSENCES  8.53 Light Golden Brown Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0090,0,KINESSENCES  9.0 Very Light Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0902,0,KINESSENCES  9.02 Very Light Iridescent Blonce,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0091,0,KINESSENCES  9.1 Very Light Ash Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0921,0,KINESSENCES  9.21 Very Light Iridescent Ash Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0923,0,KINESSENCES  9.23 Very Light Iridescent Golden Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0093,0,KINESSENCES  9.3 Very Light Golden Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0932,0,KINESSENCES  9.32 Very Light Beige Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0100,0,KINESSENCES  10.0 Platinum Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0101,0,KINESSENCES  10.1 Platinum Ash Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE1032,0,KINESSENCES  10.32 Platinum Beige Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0001,0,KINESSENCES BLONDES01 Pink,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0002,0,KINESSENCES BLONDES02 Peach,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0003,0,KINESSENCES BLONDES03 Sand,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0004,0,KINESSENCES BLONDES04 Lilac,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0005,0,KINESSENCES BLONDES05 Steel,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPDE06ELT,0,KINESSENCES Developer 6 vol,liter,$12.00 ,KINESSENCES Developers
KPDE12ELT,0,KINESSENCES Developer 12 vol,liter,$12.00 ,KINESSENCES Developers
KPDE24ELT,0,KINESSENCES Developer 24 vol,liter,$12.00 ,KINESSENCES Developers
KPDE36ELT,0,KINESSENCES Developer 36 vol,liter,$12.00 ,KINESSENCES Developers
KPDE06E12,0,KINESSENCES Developer 6 vol,120 ml,$5.00 ,KINESSENCES Developers
KPDE12E60,0,KINESSENCES Developer 12 vol,60 ml,$2.50 ,KINESSENCES Developers
KPDE24E60,0,KINESSENCES Developer 24 vol,60 ml,$2.50 ,KINESSENCES Developers
KPDE36E60,0,KINESSENCES Developer 36 vol,60 ml,$2.50 ,KINESSENCES Developers
KPBLPOWSA,0,KinBlond Bleaching Powder,30 gr,$5.00 ,KINESSENCES Developers
KPBLPOW50,0,KinBlond Bleaching Powder,500 gr,$28.00 ,KINESSENCES Developers
KPBLPOW10,0,KinBlond Bleaching Powder,1000 gr,$40.00 ,KINESSENCES Developers
KPBLCRE50,0,KINESSENCES BLONDES Bleaching Cream,500 gr,$40.00 ,KINESSENCES Developers
KRSHCAN20,0,Candy Color Shampoo - 200 ml,200 ml,$12.00 ,KIN CANDY COLORS - adding color to life
KPTERED75,0,Candy Colors Red Velvet ,200 ml,$17.00 ,KIN CANDY COLORS - adding color to life
KPTEBLU75,0,Candy Colors Blue Gummy ,200 ml,$17.00 ,KIN CANDY COLORS - adding color to life
KPTEYELL75,0,Candy Colors Yellow Mellow ,200 ml,$17.00 ,KIN CANDY COLORS - adding color to life
KPTEPIN75,0,Candy Colors Pink Bubblegum ,200 ml,$17.00 ,KIN CANDY COLORS - adding color to life
KPTEGRE75,0,Candy Colors Green Mint ,200 ml,$17.00 ,KIN CANDY COLORS - adding color to life
KPTEVIO75,0,Candy Colors Violet Crumble ,200 ml,$17.00 ,KIN CANDY COLORS - adding color to life
KPTEWHI20,0,Candy Colors White Sugar - 200 ml,200 ml,$17.00 ,KIN CANDY COLORS - adding color to life
KRTEREF01,0,KINACTIF Color Refresher Bottle,200 ml,$2.00 ,KIN CANDY COLORS - adding color to life
