Item Number,Quantity,Description,Size,UPC Code,Salon Each,Extended,Category
KPPE00652,,Prestige 6.52  Cognac Brown,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00653,,Prestige 6.53  Havana Brown,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00654,,Prestige 6.54  Copper Brown,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00656,,Prestige 6.56 Light Mahogany,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00664,,Prestige 6.64 Strawberry Red,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00666,,Prestige 6.66  Cassis Red ,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00667,,Prestige 6.67  Blackcurrant Red ,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00070,,Prestige 7.0  Medium Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00700,,Prestige 7.00  Intense Medium Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00071,,Prestige 7.1  Medium Ash Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00073,,Prestige 7.3  Medium Golden Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00731,,Prestige 7.31  Medium Golden Ash Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00732,,Prestige 7.32  Medium Beige Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00734,,Prestige 7.34  Medium Copper Golden Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00074,,Prestige 7.4  Medium Copper Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00744,,Prestige 7.44  Intense Medium Copper Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE07450,,Prestige 7.45/0  Sensual Copper,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00075,,Prestige 7.5 Hazelnut Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00750,,Prestige 7.50  Iroko Brown,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00751,,Prestige 7.51  Moka Brown,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00752,,Prestige 7.52  Iridescent Brown ,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00753,,Prestige 7.53  Safari Brown,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00756,,Prestige 7.56 Hazelnut,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00764,,Prestige 7.64  Coral Red,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00766,,Prestige 7.66  Chili Red,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00777,,Prestige 7.77  Mauve,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00079,,Prestige 7.9  Diamond Grey,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00080,,Prestige 8.0  Light Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00800,,Prestige 8.00  Intense Light Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00801,,Prestige 8.01 Natural Light Ash Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00081,,Prestige 8.1  Light Ash Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00082,,Prestige 8.2 Light Pearl Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00083,,Prestige 8.3  Light Golden Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00831,,Prestige 8.31  Light Golden Ash Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00832,,Prestige 8.32  Light Beige Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00833,,Prestige 8.33 Intense Light Golden Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00834,,Prestige 8.34  Light Copper Golden Blonde ,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00843,,Prestige 8.43  Light Golden Copper Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00844,,Prestige 8.44  Intense Light Copper Blonde ,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00845,,Prestige 8.45 Light Mahogany Copper Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE08450,,Prestige 8.45/0  Chic Copper,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00851,,Prestige 8.51  Sandy Brown,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00853,,Prestige 8.53  Golden Brown,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00854,,Prestige 8.54  Praline Brown,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00090,,Prestige 9.0  Very Light Blonde ,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00900,,Prestige 9.00  Intense Very Light Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00901,,Prestige 9.01 Very Light Natural Ash Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00091,,Prestige 9.1  Very Light Ash Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00912,,Prestige 9.12  Very Light Ash Pearl Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00093,,Prestige 9.3  Very Light Golden Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00931,,Prestige 9.31  Very Light Golden Ash Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00932,,Prestige 9.32  Very Light Beige Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00099,,Prestige 9.9  Silver Grey,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00100,,Prestige 10.0  Platinum Blonde ,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE01000,,Prestige 10.00  Intense Platinum Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE01001,,Prestige 10.01 Natural Ash Platinum Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
